Científicas;Año nacimiento;Fecha;Bio;Especialidad;Cartel;Año;Otros carteles;Instagram;Pais;Wikipedia 
Enriqueta Ortega Feliú (19 de octubre de 1892-?);1892;4-mar;Un 19 de octubre nació la doctora en Farmacia Enriqueta Ortega Feliú (1892-?), profesora de la Universidad de Barcelona (UB) que tuvo que exiliarse a México tras la Guerra Civil española.Nació en Barcelona (España), estudió Magisterio y se licenció en Farmacia y Ciencias Naturales (1923) con premio extraordinario.De 1922 a 1930 fue profesora auxiliar temporal en la Cátedra de Zoología General,Biología y Zoografía de Vertebrados de la Facultad de Ciencias de la UB.Realizó el Doctorado en Farmacia en Madrid, donde vivió en la Residencia de Señoritas.Muy implicada en la vida científica, fue tesorera de la Revista Española de Biología en la sección de Barcelona. En 1932 fue admitida, junto a Margarita Comas, en la sociedad científica: “Institución Catalana de Historia Natural”.Participó en 1933 en la creación del Instituto Salmerón de Barcelona que fomentaba una educación democrática, laica, progresista y mixta.Tras la Guerra Civil se exilia en Francia y en 1940 marcha a México. En México continuo su labor docente e investigadora al ser admitida en la Escuela Nacional de Ciencias Biológicas, en el Instituto Politécnico Nacional (IPN) y en la Universidad Autónoma Nacional de México (UNAM).Colaboró en la Fundación Luis Vives de México. Docente. Regresa a España. Su exilio provocó su desvinculación de la Universidad de Barcelona cuando ésta reanuda la actividad académica, lo que consta en su expediente de separación en los términos siguientes: “no habiéndose presentado a servir a sus cargos de Auxiliar temporal”, decisión que se firma el 4 de marzo de 1940.Al cabo de muchos años finalmente regresó a Cataluña.Cartel hecho por @pilar_terron#EnriquetaOrtegaFeliú #Magisterio#Farmacia#ExiliadaEnMéxico#MujeresEnCiencia#womeninsteam#NoMoreMatildas#mujeresconciencia#concieMcia#taldíacomohoy;Magisterio, Farmacia, Ciencias Naturales;no;2022;-;-;España;-
Ida Gray (4 de marzo de 1867 - 3 de mayo de 1953);1867;4-mar;Un 4 de mrzo nació la 1ª mujer afroamericana dentista de los Estados Unidos, IDA GRAY (1867-1953). Nació en Clarksville, Tennessee (EEUU). Su madre era una adolescente que falleció siendo una niña y su padre un hombre blanco que no la reconoció como hija, por lo que se fue a vivir con su tía y sus tres hijos a Cincinnati, Ohio. Trabajó como costurera a la vez que iba al instituto consiguiendo graduarse. Entonces empezó a trabajar como asistente en la clínica de Jonathan Taft, uno de los primeros defensores de que las mujeres aprendieran odontología, que había sido decano de la Facultad de Odontología de Ohio y que fundó la 1ª Facultad de Odontología de Michigan. Trabajó allí 3 años y con el apoyo de Taft, y gracias a su experiencia en la clínica, aprobó los exámenes de ingreso en dicha facultad en 1887. Se graduó en 1890 convirtiéndose en la primera mujer afroamericana que obtenía el título de dentista por lo que su nombre salió en la prensa como un modelo a seguir para las mujeres en general. Abrió una clínica en Cincinnati donde atendía a pacientes de todas las razas. En 1895 se casó con James Sanford Nelson y se mudaron a Chicago. Allí inspiró a una de sus pacientes, Olive M. Henderson, que se convirtió en la segunda mujer dentista negra en Chicago. En 1926 su marido falleció y se volvió a casar en 1926 con William Rollins, cambiando de nuevo su apellido. Participó en varios clubes y fue vicepresidenta del Professional Women's Club of Chicago, del Eighth Regiment Ladies' Auxiliary y miembro del Phyllis Wheatley Club (un grupo organizado para mantener el único refugio para mujeres negras en Chicago). La Facultad de Odontología de la Universidad de Michigan estableció un premio anual a la diversidad que lleva su nombre. Cartel hecho por @pilar_terron #IdaGray #Dentista #Odontología #blackwomen #MujeresEnCiencia #womeninsteam #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy;dentista;si;Muerte en 2022;Cartel el 3 de mayo;-;EEUU;-
Isabel de Portugal Trabal i Tallada (4 de marzo de 1924 – 16 de febrero de 2014);1924;4-mar;Isabel de Portugal Trabal i Tallada (Barcelona, 4 de marzo de 1924 – 16 de febrero de 2014) fue la primera mujer catalana licenciada en Ingeniería Industrial y cofundadora de la Caja de Ingenieros.Nacida el 4 de marzo de 1924 en el seno de una familia de industriales, comenzó los estudios de Ingeniería Industrial en 1943, en la escuela que entonces se decía Escuela Técnica Superior de Ingenieros Industriales de España, tras haber aprobado los dos grupos de ingreso.En el año 1949 obtuvo el título de Ingeniero Industrial, ocupando el primer lugar de la 92ª promoción de la Escuela Técnica Superior de Ingenieros Industriales de Barcelona, con la calificación de excelente con Premio Extraordinario. Fue la primera mujer Ingeniero Industrial de Cataluña y la segunda de España. En 1963 fue la primera mujer del Estado español que obtuvo el título de Doctor Ingeniero Industrial en 1963;Ingeniera Industrial;no;-;-;-;-;-
Joanne Simpson (23 de marzo de 1923 – 4 de marzo de 2010);1923;4-mar;Un 23 de marzo nació la meteoróloga pionera en el estudio de la atmósfera terrestre y en la investigación de los huracanes JOANNE SIMPSON (1923–2010), especialista en meteorología tropical que ayudó a desarrollar la Misión de Medición de Lluvias tropicales (TRMM).Joanne Gerould nació en Boston (EEUU). Se licenció en física y matemáticas en la Universidad de Chicago en 1943, luego hizo un postgrado y un trabajo de posdoctorado en el Dartmouth College. Más tarde, por sus matrimonios, su apellido cambiaría al de Starr, luego al de Marcus, y finalmente a Simpson.Quería especializarse en astrofísica pero su trabajo durante la II Guerra Mundial en el Laboratorio de Radiación del MIT donde tuvo que tomar un curso de meteorología hizo que se uniera al Instituto de meteorología que se estaba montando en la Universidad de Chicago para formar al ejército.Tras la guerra completó su maestría e ingresó al doctorado. Tras un curso con Herbert Riehl sobre meteorología tropical, decidió estudiar las nubes cúmulos tropicales y en 1949 se convirtió en la 1ª mujer con un doctorado en meteorología.En 1951, se unió al Servicio Meteorológico Nacional de EEUU y se convirtió en la 1ª meteoróloga del Servicio de Huracanes de Miami. Allí se convirtió en una experta en la comprensión de la formación y desarrollo de los huracanes y luego fue al Centro de Investigación Atmosférica de la Universidad del Estado de Colorado.En 1974, se convirtió en la 1ª mujer elegida como presidenta de la American Meteorological Society, y en 1983, en la 1ª en ser elegida miembro de la Academia Nacional de Ciencias de los Estados Unidos.Fue una defensora de la igualdad de género en la ciencia y la educación científica para mujeres. Fue mentora de numerosas mujeres jóvenes en el campo de la meteorología y trabajó para mejorar las oportunidades para las mujeres en la ciencia.Recibió numerosos premios como el Carl-Gustaf Rossby de la American Meteorological Society y la Medalla Nacional de Ciencia.Murió el 4 de marzo de 2010 en Washington D.C. con 86 años. Cartel hecho por @pilar_terron#JoanneSimpson#Meteorología#Huracanes#Física#MujeresEnCiencia#NoMoreMatildas#mujeresconciencia#concieMcia#taldíacomohoy;meteoróloga;si;Nacimiento en 2023;Cartel el 23 de marzo;-;EEUU;-
Loreto Gutiérrez Hurtado;-;4-mar;El 4 de marzo de 2021 Loreto Gutiérrez Hurtado se convirtió en la primera Coronel del Cuerpo de Ingenieros del Ejército del Aire. Diplomada de Estado Mayor. Loreto es Ingeniera Aeronáutica por la Universidad Politécnica de Madrid, ingresó en la Academia General del Aire en septiembre de 1996. En sus primeros empleos estuvo destinada en el Ala 35, en la Base Aérea de Getafe, realizando trabajos de ingeniería, control de calidad y aeronavegabilidad de las flotas de CN-235 y C-295. En este periodo participó en diversos ejercicios y misiones en el exterior. Tras finalizar el curso de Estado Mayor, en 2011, pasó destinada al Mando de Apoyo Logístico (MALOG) desarrollando principalmente trabajos relacionados con el sostenimiento de flotas de aviones en lo referente a determinación de necesidades, análisis y programación de cargas de trabajo de mantenimiento. En 2015, pasó destinada a la Dirección General de Armamento y Material (DGAM), a la Subdirección de Gestión de Programas, inicialmente en la Jefatura de Ingeniería y posteriormente en la Jefatura de Sistemas Aéreos de Ala Fija. En este periodo fue Directora Técnica de los Programas MRTT y A400M y responsable del Área Logística del A400M. Desde 2019 está destinada en el Estado Mayor, en la División de Planes, gestionando programas nacionales e internacionales, en las fases de definición de requisitos, implantación y entrada en servicio. Con el ascenso a Coronel ha pasado destinada al MALOG pero permaneceré aún unos meses en comisión de servicio en Estado Mayor. Ha realizado numerosos cursos relacionados con su especialidad y está en posesión de diversas condecoraciones militares. Según reconoció en el programa de Fly News, DiezMás1, su vocación empezó en su infancia, ya que su padre también era militar del Ejército de Aire y ha podido compaginar su vocación militar con su vocación aeronáutica en paralelo. Además, como responsable de la puesta en servicio del A400M, Loreto ha tenido un papel fundamental durante la pandemia de la COVID-19 en los vuelos sanitarios del nuevo avión de transporte del Ejército del Aire. Reconoce que fue un mes duro que obligó a cambiar la forma de trabajar para garantizar que podrían seguir dando servicio. «No podíamos fallar, era también una cuestión de autodisciplina», reconoce. Mujeres como Loreto Gutiérrez son un referente dentro del sector aeronáutico, demostrando que pueden romper los techos de cristal y conseguir todo lo que se propongan.;Ingeniera aeronáutica, ejército;no;-;-;-;España;-
Margaret Dorothy Foster ( 4 de marzo de 1895- 5 de noviembre de 1970);1895;4-mar;La química Margaret Dorothy Foster (1895-1970) nació un 4 de marzo.Fue la primera mujer química (comenzó en 1918) en trabajar en el Servicio Geológico de los Estados Unidos (USGS), donde desarrolló formas de detectar minerales en cuerpos de agua naturales.En 1942 fue reclutada para trabajar en la sección de física y química del Proyecto Manhattan: desarrolló dos nuevas técnicas de análisis cuantitativo, una para el uranio y otra para el torio, así como dos nuevas maneras de separar los dos elementos.Tras su regreso al USGS, tras finalizar la guerra, investigó la química de los minerales de arcilla y las micas.;Química;no;-;-;-;EEUU;-
Martina Casiano y Mayor (30 de enero de 1881 -19??);1881;4-mar;"Un 30 de enero nació la maestra innovadora en ciencias, 1ª mujer miembro de la Sociedad Española de Física y Química (SEFQ), Martina Casiano y Mayor (1881 -1958). Nació en Madrid, España, en el seno de una familia humilde. Ingresó con 14 años en la Escuela Normal Central, donde tuvo que repetir curso por suspender materias como la Aritmética y la Geometría. Pero su rendimiento fue mejorando año a año de forma notoria y acabó con notables calificaciones. Así fue aprobada para Maestra de primera enseñanza Elemental y al año siguiente Maestra de primera enseñanza Superior con la calificación de Sobresaliente, superando en 1901 la Reválida de Grado Normal. En 1905 accedió por oposición a la plaza de maestra en la Escuela Pública de Niñas de Horcajo de Santiago (Cuenca) y luego a la cátedra de Ciencias de profesora numeraria en la Escuela Normal Superior de Maestras de Bilbao donde en 1909 fue secretaria. Impartió clases de Nociones de Agricultura, Ciencias Físicas y Naturales, Aritmética, Álgebra y Geometría o Pedagogía durante casi 30 años. Escribió ""Bases para la formación del Programa de Ciencias físico-químicas y naturales en las Escuelas Normales de Maestras para que su enseñanza resulte de una aplicación práctica en la vida de familia”. Destacó su labor como vocal de la Junta de Protección de la infancia de Vizcaya (1908 y 1911). En 1911 fue becada 6 meses para ampliar sus estudios de Física y Química en la facultad de Farmacia en Madrid. El 4 de marzo de 1912 se convirtió en la 1ª mujer que ingresó en la SEFQ. El 27 de junio de 1912 la Junta para la Ampliación de Estudios (JAE) le concedió una beca para continuar sus estudios durante un año en Alemania. A su vuelta escribió un libro sobre la enseñanza experimental de la Física. La Guerra Civil Española truncó su carrera. Le abrieron un expediente de depuración y se le impuso la suspensión de empleo y sueldo y traslado forzoso a la escuela de Maestros y Maestras de Cádiz donde impartió clases, llegando a ser Catedrática Numeraria de Ciencias, hasta su jubilación. En su honor, el 21 de julio de 2016, se nombró el edificio “Plataforma Científico-Tecnológica Martina Casiano” en el parque científico de la UPV/EHU. Cartel hecho por @pilar_terron #MartinaCasianoyMayor #Educadora #Maestra #SEFQ #MujeresEnCiencia #womeninsteam #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy";Maestra;si;Nacimiento en 2022;Cartel el 30 de enero;-;España;-
Mary Eleanor Hunt Spear (4 de marzo de 1897 - 22 de enero de 1986);1897;4-mar;Mary Eleanor Hunt Spear (4 de marzo de 1897 - 22 de enero de 1986) fue una especialista estadounidense en visualización de datos, analista gráfica y autora, pionera en el desarrollo del gráfico de barras y el diagrama de caja. A Mary Eleanor Hunt Spear (nacida en Indiana, EE. UU., 1897) le encantaba dibujar y creía en el valor de una imagen bien diseñada como forma de comunicación y arte, “tanto como la pintura moderna o la arquitectura”, en sus propias palabras. Su extensa carrera profesional, que comenzó en torno a 1920 como dibujante de gráficos económicos en el Servicio de Ingresos Internos del gobierno federal en Washington, le llevaría al Departamento de Estadísticas Laborales de Estados Unidos donde trabajó como especialista en información visual creando multitud de ilustraciones y gráficos de gran efectividad e impacto durante más de 30 años.;Informática;no;-;-;-;EEUU;-
Nancy Tyson Burbidge ( 5 de agosto de 1912 - 4 de marzo de 1977);1912;4-mar;La botánica Nancy Tyson Burbidge (1912-1977) nació un 5 de agosto.Durante su carrera fue botánica sistemática, conservacionista y curadora de herbario.Publicó numerosos artículos y varios libros sobre plantas y árboles australianos, ilustrando ella misma muchos de ellos.;Botánica;no;-;-;-;Australia;-
Rosalind Pitt-Rivers (4 de marzo de 1907-14 de enero de 1990);1907;4-mar;La bioquímica Rosalind Pitt-Rivers (1907-1990) nació un 4 de marzo.Fue la segunda presidenta de la European Thyroid Association (1971): fue precedida en este cargo por Jean Roche y sustituida por Jack Gross.Los tres están directamente relacionados con el descubrimiento de la hormona tiroidea triyodotironina;Bioquímica;no;-;-;-;Inglaterra;-
Susana Rodríguez Gacio (4 de marzo de 1988);1988;4-mar;Susana Rodríguez Gacio (Vigo, 4 de marzo de 1988) es una médica y deportista paralímpica española, triple campeona del mundo de paratriatlón;Médica, triatleta;no;-;-;-;España;-
Christine Ladd-Franklin (1 de diciembre de 1847-5 de marzo de 1930);1847;5-mar;Christine Ladd-Franklin (1 de diciembre de 1847-5 de marzo de 1930) fue una psicóloga, lógica y matemática estadounidense.;Matemática, Psicóloga;no;-;-;-;EEUU;-
Edith Heard (1965);1965;5-mar;La genetista Edith Heard (1965) nació un 5 de marzo.Investigadora en epigenética, es catedrática en el Collège de France (Epigenética y Memoria Celular), y desde 2010 es directora de Departamento de Genética y Biología del Desarrollo en el Instituto Curie de París.Es sobre todo reconocida por sus trabajos sobre inactivación del cromosoma X, fenómeno descubierto por la genetista Mary Lyon en 1961.;Genetista;no;-;-;-;Inglaterra;-
Emma Lucy Braun (19 de abril de 1889 – 5 de marzo de 1971);1889;5-mar;La botánica, ecóloga y experta en foraestales estadounidense Emma Lucy Braun (1889-1971) falleció un 5 de marzo.Doctora en botánica por la Universidad de Cincinnati (Ohio, EE. UU.), enseñó esa disciplina y geología en la misma universidad.Publicó profusamente en botánica y ecología vegetal. Se la conoce fundamentalmente por su texto de campo Deciduous Forests of Eastern North America (1950).Ampliamente premiada por su trabajo, fue la primera mujer presidenta de la Ohio Academy of Science (1933) y de la Ecological Society of America (1950).;Botánica, ecóloga;no;-;-;-;EEUU;-
He Zehui o Ho Zah-wei (5 de marzo de 1914 - 20 de junio de 2011);1914;5-mar;Un 5 de marzo nació la física nuclear He Zehui (1914-2011). Nació en Suzhou, China, en una familia de 8 hermanos en la que la educación era importante para ellas y para ellos. Tras ir al colegio fundado por su abuela fue admitida en la Universidad de Tsinghua, en Pekín. Se licenció en Física (1936) y se fue a Alemania a hacer el doctorado en balística experimental en el Departamento de Física Técnica de la Hochschule Technische de Berlín. He terminó su tesis en 1940 proponiendo un nuevo método, sencillo y preciso, para medir la velocidad de las balas en el aire. Atrapada por la II Guerra Mundial dentro de Berlín, no pudo marcharse. Trabajó en Siemens durante 2 años investigando en materiales magnéticos. Se alojó en casa del físico Friedrich Paschen y conoció al director del hoy Instituto Max Planck. Acababan de construir el primer ciclotrón de Alemania. En 1943, fue allí con Heinz Maier-Leibniz. Trabajó en la tecnología de las cámaras de niebla, para detectar partículas de radiación ionizante y para estudiar las colisiones entre electrones y positrones. En 1945 publicaron en la revista Nature la 1ª imagen de la dispersión tras el choque de un positrón y un electrón. Recién casada con Quian Sanqiang se fueron a Francia contratados en el Laboratorio de Química Nuclear del Collège de France y en el Laboratorio Curie del Instituto del Radio. Demostraron que existía un tipo de fisión en la que el núcleo se escindía en tres fragmentos. Describieron sus mecanismos y calcularon el tamaño de esos fragmentos resultantes. En 1948 volvieron a China al Instituto de Investigación Nuclear de la Academia Nacional de Investigación de Pekín, para desarrollar y explotar la física nuclear en China. En 1966 desapareció de la vida pública por la Revolución Cultural China. Reapareció en 1978 en Alemania como miembro de una delegación gubernamental para promover la colaboración científica internacional con China. Fruto de esa colaboración, el colisionador de electrones-positrones de Pekín logró sus 1ª colisiones en 1988. Participó en distintos programas científicos como el esfuerzo espacial, que lanzó su primer satélite en 1970. Cartel hecho por @pilar_terron #HeZehui #FisiónNuclear #Física #China #MujeresEnCiencia #NoMoreMatildas #mujeresconciencia #concieMcia #TaldíaComoHoy;Física;si;2022;-;-;China;-
Jerrie Cobb (5 marzo 1931 - 18 marzo 2019);1931;5-mar;Un 5 de Marzo nace la aviadora estadounidense Jerrie Cobb (1931-2019), piloto de caza sin grado militar por ser mujer, ejecutiva de una compañía que diseñaba piezas para el fuselaje de los aviones. Fue parte del grupo Mercury 13 (programa secreto, y con fondos privados, para llevar al espacio a la primera mujer en 1960). Dos hombres unieron sus fuerzas para fundar el programa Women in Space Earliest (WISE), en el que pretendían hacer una serie de pruebas para ver si las mujeres podían ser astronautas: William R. Lovelace, médico que había realizado investigaciones en el campo aeroespacial y Donald Flickinger, jefe de bioastronáutica en las Fuerzas Aéreas. ¿El motivo de crear este programa? porque consideraban que las mujeres, al ser menos pesadas, requerirían menos oxígeno auxiliar que los hombres y se podría reducir la cantidad de combustible utilizado para lanzar el cohete. Se seleccionaron 13 pioneras de la aviación para que se sometieran a las mismas pruebas físicas y psicológicas que los hombres del Mercury 7. No sólo pasaron las pruebas, sino que, en algunos casos, superaron las marcas de los hombres. Pero, en cuanto la NASA se enteró, obligó a cancelar el programa. El resultado de las pruebas confirmó lo que el doctor Lovelace había previsto: mujeres y hombres están igualmente capacitados para ser astronautas. Además, descubrió que las mujeres soportan mejor la presión psicológica y las angustiosas horas de soledad espacial a las que está expuesto un astronauta. Los datos de estas pruebas nunca fueron publicados ni divulgados en su momento. Recientemente un equipo de investigadores estadounidenses las revisó y compró que un 68% de las mujeres las superó, en comparación con el 56% de hombres, demostrando que las capacidades de las cuatro mejores candidatas eran equiparables a las de los pilotos de la época. Cartel hecho por @pilar_terron #JerrieCobb #piloto #astronauta #Ingenieras #Aeroespacial #SheStem #womeninstem #MujeresEnCiencia #womeninsteam #girlsinstem #girlsinscience #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy;Piloto;si;Muerte en 2021;cartel el 18 marzo;-;EEUU;-
Louise Pearce (5 de marzo de 1885 - 10 de agosto de 1959);1885;5-mar;La patóloga Louise Pearce (1885-1959) nació un 5 de marzo.Desde el Instituto Rockefeller colaboró en el desarrollo de un tratamiento para la tripanosomiasis africana (enfermedad del sueño), dolencia que devastó varias áreas del continente africano entre 1900 y 1906. Junto a los químicos Walter Abraham Jacobs y Michael Heidelberger y el patólogo Wade Hampton Brown, Louise Pearce trabajó en el desarrollo y el ensayo de fármacos para el tratamiento de esta enfermedad (como el Melarsoprol). Por su trabajo para paliar esta enfermedad recibió numerosos reconocimientos.También desarrolló protocolos de tratamiento para aplicar el Melarsoprol a la sífilis. Dedicó gran parte de su carrera estudiando modelos animales de cáncer.;Patóloga;no;-;-;-;EEUU;-
Lynn Margulis (5 de marzo de 1938, 22 de noviembre de 2011);1938;5-mar;"LYNN MARGULISUn 5 de marzo nació la bióloga, ecóloga y genetista estadounidense conocida por la Teoría endosimbiótica Lynn Margulis, de soltera Lynn Petra Alexander (1938 - 2011). Destacó por describir un importante hito en la evolución, su teoría sobre la aparición de las células eucariotas como consecuencia de la incorporación simbiótica de diversas células procariotas (endosimbiosis seriada). Más tarde postuló la hipótesis según la cual la simbiogénesis sería la principal fuente de la novedad y diversidad biológica, lo que pondría fin a cien años de prevalencia de la actual teoría de la síntesis evolutiva moderna, por lo que el alcance de sus teorías está todavía por ver. Cuando falleció estaba profundizando en el estudio de diferentes espiroquetas y su posible protagonismo en procesos simbiogenéticos. Margulis consideraba que la síntesis evolutiva moderna (neodarwinismo) otorga al genoma la cualidad de entidad fundamental en la evolución, con los errores producidos en su replicación como el origen principal de los cambios que conducen a dicha evolución. Margulis niega tal capacidad al genoma y otorga el protagonismo a los organismos. Fue Medalla Nacional de Ciencia en 1999, Premio William Procter al Logro Científico (1999) y Medalla Darwin-Wallace (2008). Margulis se distinguió también por su capacidad divulgadora adaptando la escritura de los libros en los que participó a todos los niveles. Se mostraba orgullosa de ser considerada por encima de todo profesora, conquistando el cariño de sus estudiantes de la Universidad de Massachusetts (Amherst).Dijo: ""La gran visión de Darwin no estaba equivocada, solo incompleta""Cartel hecho por @pilar_terron#LynnMargulis #Genetista #biología #SheStem #womeninstem #MujeresEnCiencia #womeninsteam #girlsinstem #girlsinscience #NoMoreMatildas #mujeresconciencia #concieMcia";Genetista;Si;2021;-;-;EEUU;-
Maria Malfaz Vázquez (5 de marzo de 1976);1976;5-mar;"Un 5 de marzo nació la física y doctora en robótica MARÍA ÁNGELES MALFAZ VÁZQUEZ (1976) Nació en Tenerife (España), donde creció. Quería estudiar las estrellas y se licenció en Ciencias Físicas en la Universidad de La Laguna, aunque al final hizo la especialidad de Automática y Control. En 1999 se fue a hacer un máster en Sistemas de Control en el Imperial College de Londres. Regresó y, tras un breve tiempo trabajando en el Instituto Astrofísico de Canarias, en 2002, le surgió la oportunidad de hacer un doctorado en la Universidad Carlos III de Madrid (UC3M). Allí conoció un área nueva que estaba surgiendo en la robótica: la ""robótica personal"", que hoy en día se conoce como ""robótica social"". La idea es que estos robots sociales es que están diseñados para convivir entre personas, por lo que deben, o se espera de ellos, que tengan un comportamiento y estética amigable. El 5 de junio de 2007 se doctoró con un trabajo centrado en el diseño de un sistema de toma de decisiones bio-inspirado basado en emociones, motivaciones, necesidades y auto-aprendizaje que consigue que los robots sean autónomos y muestren un comportamiento ""vivo"". De esta manera no se perciben como máquinas, con comportamientos preprogramados, sino como seres vivos. Este sistema de toma de decisiones está implementado en los robots sociales Maggie y Mini, del laboratorio del RoboticsLab de la UC3M. Desde 2018 es profesora titular en la UC3M en control y automatización. La docencia le apasiona. Ha dirigido varios proyectos y actualmente dirige 3 proyectos de investigación centrados en el diseño de robots sociales para mejorar la calidad de vida de las personas mayores. Gracias a los robots, estas personas mayores podrían permanecer en sus hogares el mayor tiempo posible ayudándoles a mantener una buena salud mental, física y afectiva. Madre de dos niñas y un niño de 12,10 y 8 años, dice que hacerlo todo ha sido una locura, pero que le alegra ver que ahora los tres quieren hacer robots como mamá. Cartel hecho por @pilar_terron #MaríaFalfaz #Robótica #Física #MujeresEnCiencia #NoMoreMatildas #WomenInSTEAM #mujeresconciencia #concieMcia #TaldíaComoHoy ";Robótica social;si;2023;-;-;España;-
Marie-Antoninette Tonnelat (5 de marzo de 1912 - 3 de diciembre de 1980);1912;5-mar;Marie-Antoninette Tonnelat (5 de marzo de 1912 - 3 de diciembre de 1980) fue una física teórica e historiadora de la ciencia francesa. Participó en el octavo Congreso Solvay en 1948. Se doctoró en 1941 con un trabajo en física de fotones dirigido por Louis de Broglie.Fue una gran divulgadora de la obra de los físicos Albert Einstein y Erwin Schrödinger, con especial dedicación a la teoría de la relatividad. También estudió la teoría gravitatoria euclidiana, la investigación filosófica sobre la luz y la gravedad, y la historia de la ciencia de los siglos XVII y XVIII.Participó en el octavo Congreso Solvay de 1948, siendo la cuarta mujer en participar tras Marie Curie, Irène Joliot-Curie y Lise Meitner. Recibió el Premio Henri Poincaré de la Academia de las Ciencias francesa en 1970.;Física teórica;no;-;-;-;Francia;-
Pauline Sperry (5 de Marzo de 1885 – 24 de Septiembre de 1967);1885;5-mar;La matemática Pauline Sperry (1885-1967) nació un 5 de marzo.Realizó su tesis doctoral bajo la dirección del fundador de la geometría diferencial proyectiva Ernest Julius Wilczynski: Properties of a certain projectively defined two-parameter family of curves on a general surface.En 1923, fue la primera profesora asistente en el Departamento de Matemáticas en la University of California (Berkeley).;Matemática;si;-;-;-;EEUU;-
Ticiana Iturri Landajo (10 de julio de 1904 - 5 de marzo de 1969);1904;5-mar;Ticiana Iturri Landajo (Portugalete, 10 de julio de 1904 - Bilbao, 5 de marzo de 1969), doctora en medicina, especializada en pediatría, ginecología y obstetricia, y divulgadora en temas de higiene. Fue la primera mujer colegiada en el Colegio de Médicos de Bizkaia. Después de la guerra civil española, Ticiana continuó trabajando en la Escuela de Puericultura y Maternidad donde contribuyó en la mejora de la higiene maternoinfantil.1​ En 1955 obtuvo plaza en la Seguridad Social en Bilbao,1​ en el campo de la ginecología.2​ Ticiana trabajó gran parte de su vida por la defensa de los derechos reproductivos de las mujeres, especialmente de las mujeres solteras.6​ Cuando murió, fue enterrada en el panteón familiar del cementerio de Portugalete;Obstetra, Ginecóloga;no;-;-;-;España;-
Vera Pless (5 de marzo de 1931 - 2 de marzo de 2020);1931;5-mar;Un 2 de mazo falleció la matemática experta en combinatoria y teoría de códigos Vera Pless (1931-2020). Vera Stepen nació en Chicago, EEUU, hija de inmigrantes judíos de Rusia. De adolescente, estaba más interesada en tocar el chelo que en las matemáticas. Dejó la escuela secundaria dos años antes de ir a la Universidad de Chicago, donde terminó sus estudios. Inspirada por Irving Kaplansky estudió matemáticas e hizo un máster en álgebra abstracta (1952). Se casó con un físico experimental que estaba haciendo el doctorado y ella empezó el suyo. Cuando él se doctoró se mudaron al Instituto Tecnológico de Massachusetts (MIT) donde obtuvo una plaza. Vera completó su doctorado en Northwestern (1957) poco antes del nacimiento de su 1º hijo. Aburrida de ser ama de casa, 2 años más tarde, impartía 2 cursos en la Universidad de Boston. Más tarde solicitó un puesto a tiempo completo, pero no querían mujeres en la universidad. Ayudó a fundar la organización Mujeres en Ciencia e Ingeniería, de la que fue presidenta. En 1963, le ofrecieron un puesto en corrección de errores en códigos en el Laboratorio de Investigación de la Fuerza Aérea de Cambridge (AFCRL) en Massachusetts. Trabajo allí mientras familiares y amigos la hacían sentir culpable. Se convirtió en una de las mayores expertas en codificación. En esa época tuvo una hija y un hijo más. Cuando en 1972 la enmienda Mansfield prohibió a los militares hacer investigación básica, se fue al MIT donde trabajó como investigadora asociada para el proyecto MAC. En 1975 volvió a la Universidad de Illinois (Chicago) como catedrática de Matemáticas, Estadística y Computación sin su marido ni su hijo menor (5 años después, se divorciaron). Autora del libro An Introduction to the Theory of Error-Correcting Codes, entre otros, y de más de 120 artículos, se retiró en 2006. En 2012 se convirtió en miembro de la Sociedad Matemática Americana. Murió con 88 años en Oak Park. Era una entusiasta de la docencia, el teatro y la música, y firme defensora de los derechos de la mujer. Cartel hecho por @pilar_terron #VeraPless #Matemáticas #womeninMaths #MujeresEnCiencia #NoMoreMatildas #mujeresconciencia #concieMcia #TalDíaComoHoy;Matemática;si;Muerte en 2022;Cartelel 2 y el 5 de Marzo;-;EEUU;-
